dbn,School Name,# Applicants,% Asian Applicants,% Asian Applicants - Estimate Off By (+/-),% Black Applicants,% Black Applicants - Estimate Off By (+/-),% Latino Applicants,% Latino Applicants - Estimate Off By (+/-),% White Applicants,% White Applicants - Estimate Off By (+/-),# Offers,% Asian Offers,% Asian Offers - Estimate Off By (+/-),% Black Offers,% Black Offers - Estimate Off By (+/-),% Latino Offers,% Latino Offers - Estimate Off By (+/-),% White Offers,% White Offers - Estimate Off By (+/-)
10X434,Belmont Preparatory High School,2077.0,3.0,0.0,25.0,0.0,65.5,0.0,3.1,0.0,158.0,1.6,1.6,31.0,0.0,60.1,0.0,4.4,0.0
10X437,Fordham High School for the Arts,1873.0,2.2,0.0,27.9,0.0,62.8,0.0,3.0,0.0,156.0,1.6,1.6,28.2,0.0,61.5,0.0,5.1,0.0
10X442,Celia Cruz Bronx High School of Music,565.0,1.4,0.0,30.8,0.0,61.9,0.0,1.9,0.0,164.0,1.5,1.5,37.2,0.0,56.1,0.0,1.5,1.5
12X478,The Cinema School,1075.0,2.1,0.0,24.0,0.0,68.8,0.0,2.2,0.0,117.0,2.1,2.1,23.9,0.0,71.8,0.0,2.1,2.1
13K265,Dr. Susan S. McKinney Secondary School of the Arts,466.0,2.6,0.0,65.2,0.0,24.9,0.0,2.4,0.0,80.0,2.5,2.5,65.0,0.0,30.0,0.0,2.5,2.5
13K595,Bedford Academy High School,3111.0,7.7,0.0,61.3,0.0,21.8,0.0,3.1,0.0,115.0,13.0,0.0,68.7,0.0,8.7,0.0,5.2,0.0
13K670,Benjamin Banneker Academy,2909.0,4.7,0.0,65.6,0.0,22.1,0.0,1.9,0.0,299.0,3.0,0.0,71.2,0.0,19.4,0.0,2.8,0.8
14K614,Young Women's Leadership School of Brooklyn,357.0,5.3,0.0,46.5,0.0,40.6,0.0,2.0,0.0,97.0,9.3,0.0,45.4,0.0,38.1,0.0,2.6,2.6
15K429,Digital Arts and Cinema Technology High School,1009.0,5.4,0.0,41.3,0.0,39.8,0.0,7.0,0.0,125.0,2.0,2.0,35.2,0.0,46.4,0.0,9.6,0.0
15K497,The Boerum Hill School for International Studies,655.0,5.5,0.0,26.7,0.0,25.0,0.0,30.2,0.0,131.0,1.9,1.9,25.2,0.0,26.0,0.0,36.6,0.0
15K656,Brooklyn High School of the Arts,1886.0,5.0,0.0,48.4,0.0,28.3,0.0,10.3,0.0,260.0,5.8,0.0,45.8,0.0,28.8,0.0,9.2,0.0
15K684,Millennium Brooklyn High School,5753.0,22.2,0.0,24.1,0.0,19.9,0.0,23.0,0.0,312.0,34.0,0.0,5.6,3.7,9.9,0.0,34.3,0.0
17K543,"Science, Technology and Research Early College High School",1080.0,11.2,0.0,61.6,0.0,16.5,0.0,5.6,0.0,138.0,10.1,0.0,70.3,0.0,11.6,0.0,1.8,1.8
17K590,Medgar Evers College Preparatory School,2950.0,4.5,0.0,74.3,0.0,11.1,0.0,2.3,0.0,286.0,4.5,0.0,80.8,0.0,7.0,0.0,0.9,0.9
19K409,East New York Family Academy,489.0,4.5,0.0,63.6,0.0,27.4,0.0,1.9,0.7,122.0,2.0,2.0,58.2,0.0,32.0,0.0,2.0,2.0
21K468,Kingsborough Early College School,1794.0,15.3,0.0,33.8,0.0,20.2,0.0,22.2,0.0,121.0,9.1,0.0,25.6,0.0,34.7,0.0,24.8,0.0
22K535,Leon M. Goldstein High School for the Sciences,4536.0,33.2,0.0,14.4,0.0,10.4,0.0,32.3,0.0,511.0,33.9,0.0,14.1,0.0,9.4,0.0,34.8,0.0
22K555,Brooklyn College Academy,3490.0,17.2,0.0,48.1,0.0,18.4,0.0,8.5,0.0,201.0,6.0,0.0,67.2,0.0,11.4,0.0,5.2,2.2
24Q299,Bard High School Early College Queens,4825.0,30.1,0.0,12.5,0.0,23.7,0.0,19.6,0.0,267.0,35.2,0.0,17.2,0.0,16.9,0.0,16.5,0.0
24Q520,Middle College High School at LaGuardia Community College,2237.0,12.9,0.0,8.9,0.0,64.8,0.0,7.6,0.0,105.0,10.5,0.0,2.4,2.4,71.4,0.0,13.3,0.0
24Q610,Aviation Career & Technical Education High School,4134.0,27.6,0.0,6.6,0.0,48.8,0.0,10.4,0.0,635.0,41.1,0.0,2.8,0.0,38.4,0.0,11.7,0.0
25Q252,Queens School of Inquiry,809.0,31.8,0.0,14.8,0.0,25.1,0.0,16.9,0.0,132.0,35.6,0.0,14.4,0.0,12.9,0.0,29.5,0.0
25Q525,Townsend Harris High School,8123.0,43.9,0.0,10.2,0.0,21.0,0.0,13.0,0.0,577.0,58.2,0.0,4.0,0.0,7.5,0.0,14.6,0.0
27Q323,Scholars' Academy,1527.0,25.1,0.0,20.6,0.0,22.7,0.0,19.4,0.0,199.0,15.6,0.0,12.6,0.0,18.1,0.0,51.8,0.0
27Q650,"High School for Construction Trades, Engineering and Architecture",2561.0,28.2,0.0,16.1,0.0,37.1,0.0,8.5,0.0,304.0,27.6,0.0,8.2,0.0,32.6,0.0,18.8,0.0
28Q284,York Early College Academy,1745.0,26.6,0.0,39.1,0.0,15.5,0.0,3.0,0.0,92.0,23.9,0.0,57.6,0.0,2.7,2.7,2.7,2.7
28Q680,Queens Gateway to Health Sciences Secondary School,1579.0,41.2,0.0,24.0,0.0,19.4,0.0,3.9,0.0,147.0,46.3,0.0,24.5,0.0,10.2,0.0,1.7,1.7
28Q690,High School for Law Enforcement and Public Safety,488.0,15.6,0.0,41.4,0.0,30.7,0.0,3.5,0.0,138.0,18.8,0.0,43.5,0.0,23.2,0.0,1.8,1.8
28Q896,"Young Women's Leadership School, Queens",529.0,32.1,0.0,32.3,0.0,18.9,0.0,4.3,0.0,118.0,42.4,0.0,31.4,0.0,13.6,0.0,2.1,2.1
30Q286,"Young Women's Leadership School, Astoria",567.0,26.6,0.0,9.3,0.0,40.7,0.0,11.1,0.0,100.0,32.0,0.0,6.0,0.0,35.0,0.0,20.0,0.0
30Q501,Frank Sinatra School of the Arts High School,2987.0,11.3,0.0,16.8,0.0,35.4,0.0,24.1,0.0,322.0,15.8,0.0,6.8,0.0,21.1,0.0,39.1,0.0
30Q580,Baccalaureate School for Global Education,3586.0,42.0,0.0,6.1,0.0,22.0,0.0,17.0,0.0,209.0,52.6,0.0,1.2,1.2,12.9,0.0,27.8,0.0
